HSF_DNA-bind	PF00447.19	ENSG00000169953.12	80	194
ARID	PF01388.23	ENSG00000012817.16	81	165
HSF_DNA-bind	PF00447.19	ENSG00000172468.14	80	194
Homeodomain	PF00046.31	ENSG00000176679.9	51	108
HMG_box	PF00505.21	ENSG00000184895.8	60	128
zf-C2H2	PF00096.28	ENSG00000067646.12	421	443
zf-C2H2	PF00096.28	ENSG00000067646.12	484	506
zf-C2H2	PF00096.28	ENSG00000067646.12	544	566
zf-C2H2	PF00096.28	ENSG00000067646.12	572	595
zf-C2H2	PF00096.28	ENSG00000067646.12	658	680
zf-C2H2	PF00096.28	ENSG00000067646.12	715	737
zf-C2H2	PF00096.28	ENSG00000067646.12	743	766
zf-C2H2	PF00096.28	ENSG00000067646.12	772	795
HMG_box	PF00505.21	ENSG00000189403.15	6	79
HMG_box	PF00505.21	ENSG00000189403.15	95	163
HLH	PF00010.28	ENSG00000120669.16	203	253
Homeodomain	PF00046.31	ENSG00000165556.10	187	243
HLH	PF00010.28	ENSG00000250709.1	280	330
Homeodomain	PF00046.31	ENSG00000125820.6	129	185
zf-C2H2	PF00096.28	ENSG00000173404.5	295	317
zf-C2H2	PF00096.28	ENSG00000173404.5	367	390
zf-C2H2	PF00096.28	ENSG00000173404.5	440	464
zf-C2H2	PF00096.28	ENSG00000173404.5	469	492
zf-C2H2	PF00096.28	ENSG00000122034.17	70	94
zf-C2H2	PF00096.28	ENSG00000122034.17	100	125
zf-C2H2	PF00096.28	ENSG00000122034.17	162	186
zf-C2H2	PF00096.28	ENSG00000122034.17	218	239
zf-C2H2	PF00096.28	ENSG00000122034.17	246	271
zf-C2H2	PF00096.28	ENSG00000122034.17	277	301
Homeodomain	PF00046.31	ENSG00000125816.5	190	246
Ets	PF00178.24	ENSG00000120690.16	209	290
zf-C2H2	PF00096.28	ENSG00000088876.13	310	332
zf-C2H2	PF00096.28	ENSG00000088876.13	338	360
zf-C2H2	PF00096.28	ENSG00000088876.13	394	416
zf-C2H2	PF00096.28	ENSG00000088876.13	422	444
zf-C2H2	PF00096.28	ENSG00000088876.13	450	472
